area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 1.000 square miles,Average household size:South Park:6.1 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:39.3 yearsWhole city:33.1 years,Females:This neighborhood:44.8 yearsWhole city:35.7 years,"South Park:$57,351Des Moines:$49,203",South Park:$718Des Moines:$690,"Males:2,034Females:2,589",South Park:21.9%city:18.9%,South Park:18.8%Des Moines:21.7%,Here:68.1%Des Moines:66.5%,South Park:19.5%Des Moines:20.3%,South Park:0.9%Des Moines:4.7%,Here:0.2%city:1.0%,Here:27.0%Des Moines:36.2%,South Park:73.9%Des Moines:69.8%,South Park:22.1%Des Moines:13.8%,"Population: 4,624"
Area: 1.000 square miles,Average household size:South Park:6.1 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:39.3 yearsWhole city:33.1 years,Females:This neighborhood:44.8 yearsWhole city:35.7 years,"South Park:$57,351Des Moines:$49,203",South Park:$718Des Moines:$690,"Males:2,034Females:2,589",South Park:21.9%city:18.9%,South Park:18.8%Des Moines:21.7%,Here:68.1%Des Moines:66.5%,South Park:19.5%Des Moines:20.3%,South Park:0.9%Des Moines:4.7%,Here:0.2%city:1.0%,Here:27.0%Des Moines:36.2%,South Park:73.9%Des Moines:69.8%,South Park:22.1%Des Moines:13.8%,"Population: 4,624"
Area: 0.076 square miles,,,,,,,,,,,,,,,,,,
Area: 0.045 square miles,,,,,,,,,,,,,,,,,,
Area: 0.031 square miles,Average household size:Southcrest:2.4 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:28.9 yearsWhole city:33.1 years,Females:This neighborhood:42.7 yearsWhole city:35.7 years,"Southcrest:$26,350Des Moines:$49,203",Southcrest:$641Des Moines:$690,Males:52Females:85,Southcrest:23.6%city:18.9%,Southcrest:15.2%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Southcrest:22.3%Des Moines:20.3%,Southcrest:4.5%Des Moines:4.7%,Here:0.1%city:1.0%,Here:18.0%Des Moines:36.2%,Southcrest:80.8%Des Moines:69.8%,Southcrest:26.8%Des Moines:13.8%,Population: 137
Area: 0.056 square miles,,,,,,,,,,,,,,,,,,
Area: 0.179 square miles,Average household size:Southern Hills:2.2 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:25.0 yearsWhole city:33.1 years,Females:This neighborhood:31.3 yearsWhole city:35.7 years,"Southern Hills:$38,555Des Moines:$49,203",Southern Hills:$786Des Moines:$690,Males:37Females:55,Southern Hills:30.6%city:18.9%,Southern Hills:23.7%Des Moines:21.7%,Here:61.6%Des Moines:66.5%,Southern Hills:22.1%Des Moines:20.3%,Southern Hills:1.1%Des Moines:4.7%,Here:0.0%city:1.0%,Here:27.9%Des Moines:36.2%,Southern Hills:52.1%Des Moines:69.8%,Southern Hills:30.3%Des Moines:13.8%,Population: 92
Area: 0.045 square miles,Average household size:Southern Knolls:2.5 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:2.7Des Moines:2.0,Median age:Males:This neighborhood:23.1 yearsWhole city:33.1 years,Females:This neighborhood:26.0 yearsWhole city:35.7 years,"Southern Knolls:$20,192Des Moines:$49,203",Southern Knolls:$580Des Moines:$690,Males:146Females:143,Southern Knolls:27.8%city:18.9%,Southern Knolls:17.4%Des Moines:21.7%,Here:75.9%Des Moines:66.5%,Southern Knolls:12.3%Des Moines:20.3%,Southern Knolls:3.5%Des Moines:4.7%,Here:0.3%city:1.0%,Here:24.5%Des Moines:36.2%,Southern Knolls:82.1%Des Moines:69.8%,Southern Knolls:19.2%Des Moines:13.8%,Population: 290
Area: 0.066 square miles,,,,,,,,,,,,,,,,,,
Area: 0.031 square miles,Average household size:Southgate:2.2 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.2 yearsWhole city:33.1 years,Females:This neighborhood:44.8 yearsWhole city:35.7 years,"Southgate:$59,386Des Moines:$49,203",Southgate:$740Des Moines:$690,Males:21Females:19,Southgate:7.8%city:18.9%,Southgate:16.2%Des Moines:21.7%,Here:69.6%Des Moines:66.5%,Southgate:26.7%Des Moines:20.3%,Southgate:2.6%Des Moines:4.7%,Here:0.4%city:1.0%,Here:49.2%Des Moines:36.2%,Southgate:65.0%Des Moines:69.8%,Southgate:2.5%Des Moines:13.8%,Population: 41
Area: 0.062 square miles,,,,,,,,,,,,,,,,,,
Area: 0.062 square miles,Average household size:Southmoor Gardens:2.9 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:32.6 yearsWhole city:33.1 years,Females:This neighborhood:34.2 yearsWhole city:35.7 years,"Southmoor Gardens:$51,203Des Moines:$49,203",Southmoor Gardens:$676Des Moines:$690,Males:80Females:120,Southmoor Gardens:18.2%city:18.9%,Southmoor Gardens:11.5%Des Moines:21.7%,Here:61.9%Des Moines:66.5%,Southmoor Gardens:21.2%Des Moines:20.3%,Southmoor Gardens:0.0%Des Moines:4.7%,Here:0.1%city:1.0%,Here:48.7%Des Moines:36.2%,Southmoor Gardens:68.4%Des Moines:69.8%,Southmoor Gardens:17.3%Des Moines:13.8%,Population: 201
Area: 0.028 square miles,,,,,,,,,,,,,,,,,,
Area: 0.383 square miles,Average household size:Southridge:5.7 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:33.6 yearsWhole city:33.1 years,Females:This neighborhood:39.2 yearsWhole city:35.7 years,"Southridge:$55,011Des Moines:$49,203",Southridge:$642Des Moines:$690,"Males:620Females:1,015",Southridge:23.4%city:18.9%,Southridge:15.2%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Southridge:22.3%Des Moines:20.3%,Southridge:1.1%Des Moines:4.7%,Here:0.1%city:1.0%,Here:18.3%Des Moines:36.2%,Southridge:80.6%Des Moines:69.8%,Southridge:26.4%Des Moines:13.8%,"Population: 1,635"
Area: 8.293 square miles,Average household size:Southwestern Hills:2.2 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:25.0 yearsWhole city:33.1 years,Females:This neighborhood:31.3 yearsWhole city:35.7 years,"Southwestern Hills:$38,550Des Moines:$49,203",Southwestern Hills:$786Des Moines:$690,"Males:1,723Females:2,587",Southwestern Hills:30.6%city:18.9%,Southwestern Hills:23.7%Des Moines:21.7%,Here:69.8%Des Moines:66.5%,Southwestern Hills:18.6%Des Moines:20.3%,Southwestern Hills:2.8%Des Moines:4.7%,Here:0.0%city:1.0%,Here:27.9%Des Moines:36.2%,Southwestern Hills:52.1%Des Moines:69.8%,Southwestern Hills:30.0%Des Moines:13.8%,"Population: 4,310"
Area: 0.047 square miles,Average household size:Southwick:14.3 peopleDes Moines:2.5 people,Here:3.8city:1.3,This neighborhood:1.5Des Moines:2.0,Median age:Males:This neighborhood:46.2 yearsWhole city:33.1 years,Females:This neighborhood:46.6 yearsWhole city:35.7 years,"Southwick:$38,140Des Moines:$49,203",Southwick:$621Des Moines:$690,Males:57Females:59,Southwick:7.1%city:18.9%,Southwick:15.6%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Southwick:22.3%Des Moines:20.3%,Southwick:5.2%Des Moines:4.7%,Here:0.1%city:1.0%,Here:36.3%Des Moines:36.2%,Southwick:76.0%Des Moines:69.8%,Southwick:5.3%Des Moines:13.8%,Population: 116
Area: 0.410 square miles,,,,,,,,,,,,,,,,,,
Area: 0.061 square miles,,,,,,,,,,,,,,,,,,
Area: 0.023 square miles,,,,,,,,,,,,,,,,,,
Area: 0.020 square miles,Average household size:Summit Park:3.7 peopleDes Moines:2.5 people,Here:1.0city:1.3,This neighborhood:2.6Des Moines:2.0,Median age:Males:This neighborhood:29.3 yearsWhole city:33.1 years,Females:This neighborhood:32.0 yearsWhole city:35.7 years,"Summit Park:$28,715Des Moines:$49,203",Summit Park:$519Des Moines:$690,Males:86Females:72,Summit Park:17.0%city:18.9%,Summit Park:29.4%Des Moines:21.7%,Here:62.2%Des Moines:66.5%,Summit Park:22.3%Des Moines:20.3%,Summit Park:7.4%Des Moines:4.7%,Here:1.3%city:1.0%,Here:17.6%Des Moines:36.2%,Summit Park:27.3%Des Moines:69.8%,Summit Park:17.0%Des Moines:13.8%,Population: 159
Area: 0.055 square miles,Average household size:Summit View:2.7 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:28.5 yearsWhole city:33.1 years,Females:This neighborhood:40.4 yearsWhole city:35.7 years,"Summit View:$44,028Des Moines:$49,203",Summit View:$622Des Moines:$690,Males:88Females:88,Summit View:11.3%city:18.9%,Summit View:13.6%Des Moines:21.7%,Here:75.9%Des Moines:66.5%,Summit View:12.3%Des Moines:20.3%,,Here:0.3%city:1.0%,Here:37.6%Des Moines:36.2%,Summit View:55.8%Des Moines:69.8%,Summit View:8.7%Des Moines:13.8%,Population: 177
Area: 0.084 square miles,,,,,,,,,,,,,,,,,,
Area: 0.025 square miles,,,,,,,,,,,,,,,,,,
Area: 0.196 square miles,,,,,,,,,,,,,,,,,,
Area: 0.050 square miles,Average household size:Sunnycrest:8.4 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:37.0 yearsWhole city:33.1 years,Females:This neighborhood:37.9 yearsWhole city:35.7 years,"Sunnycrest:$51,251Des Moines:$49,203",Sunnycrest:$676Des Moines:$690,Males:246Females:220,Sunnycrest:13.2%city:18.9%,Sunnycrest:19.8%Des Moines:21.7%,Here:62.3%Des Moines:66.5%,Sunnycrest:21.2%Des Moines:20.3%,Sunnycrest:9.2%Des Moines:4.7%,Here:0.1%city:1.0%,Here:45.1%Des Moines:36.2%,Sunnycrest:68.0%Des Moines:69.8%,Sunnycrest:12.9%Des Moines:13.8%,Population: 466
Area: 0.125 square miles,Average household size:Sunrise Park:3.2 peopleDes Moines:2.5 people,Here:1.9city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:39.2 yearsWhole city:33.1 years,Females:This neighborhood:38.9 yearsWhole city:35.7 years,"Sunrise Park:$52,101Des Moines:$49,203",Sunrise Park:$630Des Moines:$690,Males:132Females:131,Sunrise Park:14.5%city:18.9%,Sunrise Park:10.8%Des Moines:21.7%,Here:72.6%Des Moines:66.5%,Sunrise Park:20.7%Des Moines:20.3%,Sunrise Park:1.7%Des Moines:4.7%,Here:0.2%city:1.0%,Here:61.4%Des Moines:36.2%,Sunrise Park:77.7%Des Moines:69.8%,Sunrise Park:24.1%Des Moines:13.8%,Population: 263
Area: 0.058 square miles,,,,,,,,,,,,,,,,,,
Area: 0.029 square miles,Average household size:Sunset Park:2.2 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:43.8 yearsWhole city:33.1 years,Females:This neighborhood:41.6 yearsWhole city:35.7 years,"Sunset Park:$67,708Des Moines:$49,203",Sunset Park:$535Des Moines:$690,Males:35Females:35,Sunset Park:9.7%city:18.9%,Sunset Park:12.9%Des Moines:21.7%,Here:71.5%Des Moines:66.5%,Sunset Park:25.0%Des Moines:20.3%,Sunset Park:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:44.4%Des Moines:36.2%,Sunset Park:80.7%Des Moines:69.8%,Sunset Park:7.0%Des Moines:13.8%,Population: 71
Area: 0.005 square miles,Average household size:Sunset Ridge:3.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:33.6 yearsWhole city:33.1 years,Females:This neighborhood:32.8 yearsWhole city:35.7 years,"Sunset Ridge:$51,344Des Moines:$49,203",Sunset Ridge:$676Des Moines:$690,Males:23Females:20,Sunset Ridge:13.2%city:18.9%,Sunset Ridge:19.9%Des Moines:21.7%,Here:61.9%Des Moines:66.5%,Sunset Ridge:21.2%Des Moines:20.3%,Sunset Ridge:2.7%Des Moines:4.7%,Here:0.1%city:1.0%,Here:45.2%Des Moines:36.2%,Sunset Ridge:68.2%Des Moines:69.8%,Sunset Ridge:12.8%Des Moines:13.8%,Population: 43
Area: 0.225 square miles,Average household size:Sylvan Heights:2.4 peopleDes Moines:2.5 people,Here:0.7city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:37.0 yearsWhole city:33.1 years,Females:This neighborhood:47.4 yearsWhole city:35.7 years,"Sylvan Heights:$56,015Des Moines:$49,203",Sylvan Heights:$605Des Moines:$690,Males:61Females:44,Sylvan Heights:6.9%city:18.9%,Sylvan Heights:14.9%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Sylvan Heights:14.7%Des Moines:20.3%,Sylvan Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:55.1%Des Moines:36.2%,Sylvan Heights:62.5%Des Moines:69.8%,Sylvan Heights:11.5%Des Moines:13.8%,Population: 106
Area: 0.186 square miles,,,,,,,,,,,,,,,,,,
Area: 0.016 square miles,Average household size:The Oaks at 35th:2.3 peopleWest Des Moines:2.3 people,Here:1.8city:1.4,This neighborhood:2.2West Des Moines:2.0,Median age:Males:This neighborhood:40.2 yearsWhole city:34.3 years,Females:This neighborhood:45.8 yearsWhole city:34.7 years,"The Oaks at 35th:$79,797West Des Moines:$70,906",The Oaks at 35th:$943West Des Moines:$843,Males:38Females:35,The Oaks at 35th:14.2%city:15.2%,The Oaks at 35th:16.5%West Des Moines:15.5%,Here:71.7%West Des Moines:64.2%,The Oaks at 35th:22.2%West Des Moines:24.4%,The Oaks at 35th:0.0%West Des Moines:1.8%,Here:0.9%city:0.8%,Here:53.6%West Des Moines:47.5%,The Oaks at 35th:68.5%West Des Moines:72.3%,The Oaks at 35th:9.9%West Des Moines:7.4%,Population: 74
Area: 0.193 square miles,Average household size:Thomas Heights:17.7 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:47.7 yearsWhole city:33.1 years,Females:This neighborhood:49.5 yearsWhole city:35.7 years,"Thomas Heights:$37,739Des Moines:$49,203",Thomas Heights:$634Des Moines:$690,Males:332Females:288,Thomas Heights:5.7%city:18.9%,Thomas Heights:3.3%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Thomas Heights:22.3%Des Moines:20.3%,Thomas Heights:6.3%Des Moines:4.7%,Here:0.1%city:1.0%,Here:47.9%Des Moines:36.2%,Thomas Heights:73.9%Des Moines:69.8%,Thomas Heights:14.4%Des Moines:13.8%,Population: 621
Area: 0.014 square miles,Average household size:Thornton Heights:2.8 peopleDes Moines:2.5 people,Here:3.9city:1.3,This neighborhood:1.6Des Moines:2.0,Median age:Males:This neighborhood:15.7 yearsWhole city:33.1 years,Females:This neighborhood:41.3 yearsWhole city:35.7 years,"Thornton Heights:$46,250Des Moines:$49,203",Thornton Heights:$782Des Moines:$690,Males:44Females:45,Thornton Heights:10.6%city:18.9%,Thornton Heights:12.1%Des Moines:21.7%,Here:78.3%Des Moines:66.5%,Thornton Heights:18.6%Des Moines:20.3%,Thornton Heights:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:37.8%Des Moines:36.2%,Thornton Heights:58.0%Des Moines:69.8%,Thornton Heights:7.5%Des Moines:13.8%,Population: 90
Area: 0.064 square miles,Average household size:Thornton Place:2.4 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:37.5 yearsWhole city:33.1 years,Females:This neighborhood:32.0 yearsWhole city:35.7 years,"Thornton Place:$57,431Des Moines:$49,203",Thornton Place:$675Des Moines:$690,Males:82Females:103,Thornton Place:21.5%city:18.9%,Thornton Place:14.7%Des Moines:21.7%,Here:69.6%Des Moines:66.5%,Thornton Place:26.6%Des Moines:20.3%,Thornton Place:0.6%Des Moines:4.7%,Here:0.3%city:1.0%,Here:34.3%Des Moines:36.2%,Thornton Place:78.3%Des Moines:69.8%,Thornton Place:29.7%Des Moines:13.8%,Population: 185
Area: 0.075 square miles,,,,,,,,,,,,,,,,,,
Area: 0.093 square miles,,,,,,,,,,,,,,,,,,
Area: 0.022 square miles,Average household size:Timberline Terrace:3.3 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.5Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:33.3 yearsWhole city:35.7 years,"Timberline Terrace:$66,554Des Moines:$49,203",Timberline Terrace:$645Des Moines:$690,Males:13Females:14,Timberline Terrace:19.5%city:18.9%,Timberline Terrace:17.7%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Timberline Terrace:13.1%Des Moines:20.3%,Timberline Terrace:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:31.6%Des Moines:36.2%,Timberline Terrace:70.0%Des Moines:69.8%,Timberline Terrace:18.9%Des Moines:13.8%,Population: 27
Area: 0.074 square miles,,,,,,,,,,,,,,,,,,
Area: 0.031 square miles,Average household size:Turner Place:1.9 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:40.4 yearsWhole city:33.1 years,Females:This neighborhood:49.5 yearsWhole city:35.7 years,"Turner Place:$63,461Des Moines:$49,203",Turner Place:$845Des Moines:$690,Males:25Females:29,Turner Place:12.6%city:18.9%,Turner Place:20.2%Des Moines:21.7%,Here:72.4%Des Moines:66.5%,Turner Place:22.2%Des Moines:20.3%,Turner Place:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:44.0%Des Moines:36.2%,Turner Place:84.3%Des Moines:69.8%,Turner Place:1.0%Des Moines:13.8%,Population: 55
Area: 0.039 square miles,Average household size:Union Lawns:29.0 peopleDes Moines:2.5 people,Here:0.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.8 yearsWhole city:33.1 years,Females:This neighborhood:49.6 yearsWhole city:35.7 years,"Union Lawns:$41,402Des Moines:$49,203",Union Lawns:$839Des Moines:$690,Males:120Females:126,Union Lawns:17.1%city:18.9%,Union Lawns:28.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Union Lawns:18.6%Des Moines:20.3%,Union Lawns:4.6%Des Moines:4.7%,Here:0.1%city:1.0%,Here:29.1%Des Moines:36.2%,Union Lawns:73.1%Des Moines:69.8%,Union Lawns:3.0%Des Moines:13.8%,Population: 246
Area: 1.241 square miles,Average household size:Union Park:13.0 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:32.0 yearsWhole city:33.1 years,Females:This neighborhood:39.3 yearsWhole city:35.7 years,"Union Park:$47,189Des Moines:$49,203",Union Park:$810Des Moines:$690,"Males:4,643Females:4,699",Union Park:16.5%city:18.9%,Union Park:22.9%Des Moines:21.7%,Here:68.9%Des Moines:66.5%,Union Park:16.9%Des Moines:20.3%,Union Park:4.6%Des Moines:4.7%,Here:0.6%city:1.0%,Here:38.6%Des Moines:36.2%,Union Park:70.0%Des Moines:69.8%,Union Park:6.2%Des Moines:13.8%,"Population: 9,342"
Area: 0.030 square miles,,,,,,,,,,,,,,,,,,
Area: 0.058 square miles,Average household size:University:2.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:30.9 yearsWhole city:33.1 years,Females:This neighborhood:27.9 yearsWhole city:35.7 years,"University:$37,579Des Moines:$49,203",University:$601Des Moines:$690,Males:282Females:306,University:27.9%city:18.9%,University:28.5%Des Moines:21.7%,Here:45.5%Des Moines:66.5%,University:24.1%Des Moines:20.3%,University:16.1%Des Moines:4.7%,Here:1.6%city:1.0%,Here:24.1%Des Moines:36.2%,University:69.1%Des Moines:69.8%,University:18.4%Des Moines:13.8%,Population: 589
Area: 0.163 square miles,Average household size:University Heights:2.3 peopleDes Moines:2.5 people,Here:2.0city:1.3,This neighborhood:1.6Des Moines:2.0,Median age:Males:This neighborhood:37.0 yearsWhole city:33.1 years,Females:This neighborhood:40.1 yearsWhole city:35.7 years,"University Heights:$70,773Des Moines:$49,203",University Heights:$994Des Moines:$690,Males:503Females:501,University Heights:26.6%city:18.9%,University Heights:21.0%Des Moines:21.7%,Here:75.5%Des Moines:66.5%,University Heights:19.5%Des Moines:20.3%,University Heights:0.2%Des Moines:4.7%,Here:0.5%city:1.0%,Here:40.0%Des Moines:36.2%,University Heights:96.2%Des Moines:69.8%,University Heights:17.5%Des Moines:13.8%,"Population: 1,005"
Area: 0.200 square miles,Average household size:Valley High Manor:2.9 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:39.8 yearsWhole city:33.1 years,Females:This neighborhood:41.7 yearsWhole city:35.7 years,"Valley High Manor:$55,787Des Moines:$49,203",Valley High Manor:$645Des Moines:$690,Males:115Females:123,Valley High Manor:19.4%city:18.9%,Valley High Manor:17.7%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Valley High Manor:13.1%Des Moines:20.3%,Valley High Manor:0.5%Des Moines:4.7%,Here:0.5%city:1.0%,Here:31.8%Des Moines:36.2%,Valley High Manor:70.0%Des Moines:69.8%,Valley High Manor:18.7%Des Moines:13.8%,Population: 239
Area: 0.666 square miles,Average household size:Valley Junction:7.4 peopleWest Des Moines:2.3 people,Here:1.3city:1.4,This neighborhood:2.2West Des Moines:2.0,Median age:Males:This neighborhood:31.8 yearsWhole city:34.3 years,Females:This neighborhood:36.5 yearsWhole city:34.7 years,"Valley Junction:$45,247West Des Moines:$70,906",Valley Junction:$720West Des Moines:$843,"Males:2,866Females:2,574",Valley Junction:15.8%city:15.2%,Valley Junction:22.2%West Des Moines:15.5%,Here:66.9%West Des Moines:64.2%,Valley Junction:18.9%West Des Moines:24.4%,Valley Junction:3.6%West Des Moines:1.8%,Here:1.3%city:0.8%,Here:32.3%West Des Moines:47.5%,Valley Junction:78.3%West Des Moines:72.3%,Valley Junction:20.1%West Des Moines:7.4%,"Population: 5,441"
Area: 0.031 square miles,Average household size:Van Vliet Meadows:29.0 peopleDes Moines:2.5 people,Here:0.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.8 yearsWhole city:33.1 years,Females:This neighborhood:49.6 yearsWhole city:35.7 years,"Van Vliet Meadows:$41,402Des Moines:$49,203",Van Vliet Meadows:$839Des Moines:$690,Males:96Females:101,Van Vliet Meadows:17.1%city:18.9%,Van Vliet Meadows:28.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Van Vliet Meadows:18.6%Des Moines:20.3%,Van Vliet Meadows:3.1%Des Moines:4.7%,Here:0.1%city:1.0%,Here:29.1%Des Moines:36.2%,Van Vliet Meadows:73.1%Des Moines:69.8%,Van Vliet Meadows:3.0%Des Moines:13.8%,Population: 197
Area: 0.166 square miles,Average household size:Vandalia Acres:2.5 peopleDes Moines:2.5 people,Here:1.5city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:37.4 yearsWhole city:33.1 years,Females:This neighborhood:47.7 yearsWhole city:35.7 years,"Vandalia Acres:$47,574Des Moines:$49,203",Vandalia Acres:$643Des Moines:$690,Males:15Females:13,Vandalia Acres:7.5%city:18.9%,Vandalia Acres:13.9%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Vandalia Acres:13.1%Des Moines:20.3%,Vandalia Acres:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:43.9%Des Moines:36.2%,Vandalia Acres:72.8%Des Moines:69.8%,Vandalia Acres:21.0%Des Moines:13.8%,Population: 29
Area: 0.012 square miles,Average household size:Vernon Heights:2.2 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:43.8 yearsWhole city:33.1 years,Females:This neighborhood:41.6 yearsWhole city:35.7 years,"Vernon Heights:$67,708Des Moines:$49,203",Vernon Heights:$535Des Moines:$690,Males:14Females:14,Vernon Heights:9.7%city:18.9%,Vernon Heights:12.9%Des Moines:21.7%,Here:71.5%Des Moines:66.5%,Vernon Heights:25.0%Des Moines:20.3%,Vernon Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:44.4%Des Moines:36.2%,Vernon Heights:80.7%Des Moines:69.8%,Vernon Heights:7.1%Des Moines:13.8%,Population: 29
Area: 0.031 square miles,Average household size:Virginia Heights:2.2 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.7 yearsWhole city:33.1 years,Females:This neighborhood:51.8 yearsWhole city:35.7 years,"Virginia Heights:$60,465Des Moines:$49,203",Virginia Heights:$740Des Moines:$690,Males:21Females:19,Virginia Heights:7.8%city:18.9%,Virginia Heights:16.3%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Virginia Heights:26.8%Des Moines:20.3%,Virginia Heights:2.6%Des Moines:4.7%,Here:0.3%city:1.0%,Here:49.5%Des Moines:36.2%,Virginia Heights:65.2%Des Moines:69.8%,Virginia Heights:2.4%Des Moines:13.8%,Population: 41
Area: 0.033 square miles,Average household size:Vista Grove:2.9 peopleDes Moines:2.5 people,Here:2.2city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:43.2 yearsWhole city:33.1 years,Females:This neighborhood:34.5 yearsWhole city:35.7 years,"Vista Grove:$54,233Des Moines:$49,203",Vista Grove:$681Des Moines:$690,Males:28Females:24,Vista Grove:12.0%city:18.9%,Vista Grove:24.1%Des Moines:21.7%,Here:50.9%Des Moines:66.5%,Vista Grove:18.8%Des Moines:20.3%,Vista Grove:14.0%Des Moines:4.7%,Here:1.6%city:1.0%,Here:31.8%Des Moines:36.2%,Vista Grove:77.7%Des Moines:69.8%,Vista Grove:18.3%Des Moines:13.8%,Population: 53
Area: 0.076 square miles,,,,,,,,,,,,,,,,,,
Area: 0.251 square miles,Average household size:Wakonda Manor:2.1 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.7 yearsWhole city:33.1 years,Females:This neighborhood:39.4 yearsWhole city:35.7 years,"Wakonda Manor:$44,179Des Moines:$49,203",Wakonda Manor:$628Des Moines:$690,Males:609Females:776,Wakonda Manor:16.4%city:18.9%,Wakonda Manor:11.4%Des Moines:21.7%,Here:81.3%Des Moines:66.5%,Wakonda Manor:13.6%Des Moines:20.3%,Wakonda Manor:0.3%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.0%Des Moines:36.2%,Wakonda Manor:75.3%Des Moines:69.8%,Wakonda Manor:15.8%Des Moines:13.8%,"Population: 1,386"
